Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44206,Canário,C4040,P3245,45,59,2655
44206,Canário,C4118,P5552,151,198,29898
44206,Canário,C4161,P4862,280,86,24080
44206,Canário,C4224,P6599,371,154,57134
44206,Canário,C4446,P7570,57,74,4218
44206,Canário,C4476,P2274,353,15,5295
44206,Canário,C4889,P3802,303,18,5454
44206,Canário,C6796,P4882,155,11,1705
44206,Canário,C7351,P6419,93,154,14322
44206,Canário,C8101,P6441,59,99,5841
44206,Canário,C9703,P5405,280,110,30800
44207,Canário,C2167,P5907,286,91,26026
44207,Canário,C2594,P6059,176,39,6864
44207,Canário,C2911,P8272,82,42,3444
44207,Canário,C3999,P2753,247,53,13091
44207,Canário,C4028,P2694,319,31,9889
44207,Canário,C7443,P8550,98,17,1666
44207,Canário,C8460,P6927,94,67,6298
44207,Canário,C8957,P6765,129,36,4644
44207,Canário,C9385,P3173,85,64,5440
44208,Canário,C1890,P2220,205,117,23985
44208,Canário,C2510,P5349,174,131,22794
44208,Canário,C3971,P7323,124,190,23560
44208,Canário,C7343,P8905,373,165,61545
44208,Canário,C8379,P6691,223,18,4014
44209,Canário,C2075,P7683,173,196,33908
44209,Canário,C2397,P6353,291,32,9312
44209,Canário,C2685,P1281,316,34,10744
44209,Canário,C2709,P7327,51,170,8670
44209,Canário,C5634,P2003,355,182,64610
44209,Canário,C5871,P5654,89,156,13884
44209,Canário,C6442,P2815,150,98,14700
44209,Canário,C6653,P7291,217,100,21700
44209,Canário,C7038,P4843,276,57,15732
44209,Canário,C7119,P8824,81,25,2025
44209,Canário,C7150,P8783,52,46,2392
44209,Canário,C7338,P1521,376,57,21432
44210,Canário,C2286,P1667,399,78,31122
44210,Canário,C5398,P9917,105,198,20790
44210,Canário,C7196,P7076,80,53,4240
44210,Canário,C7958,P9758,196,10,1960
44210,Canário,C8971,P9297,353,138,48714
44211,Canário,C1139,P2796,140,184,25760
44211,Canário,C2404,P9119,312,156,48672
44211,Canário,C2700,P6959,181,42,7602
44211,Canário,C3498,P9349,182,148,26936
44211,Canário,C4023,P7472,98,118,11564
44211,Canário,C4239,P2695,79,56,4424
44211,Canário,C4371,P8153,133,23,3059
44211,Canário,C6430,P9318,349,134,46766
44211,Canário,C7245,P8242,156,51,7956
44211,Canário,C7564,P3584,384,81,31104
44211,Canário,C7818,P5423,115,36,4140
44211,Canário,C8193,P3189,73,162,11826
44211,Canário,C9098,P4517,260,49,12740
44212,Canário,C2404,P1773,112,133,14896
44212,Canário,C2552,P1820,288,167,48096
44212,Canário,C4926,P8943,345,10,3450
44212,Canário,C5438,P3206,154,188,28952
44212,Canário,C5492,P9667,92,162,14904
44212,Canário,C5558,P1969,240,75,18000
44212,Canário,C5870,P6252,381,169,64389
44212,Canário,C6049,P7459,96,195,18720
44212,Canário,C8093,P5199,148,97,14356
44212,Canário,C9689,P4105,282,171,48222
44213,Canário,C2900,P5810,314,27,8478
44213,Canário,C3969,P9429,392,37,14504
44213,Canário,C4238,P6148,129,17,2193
44213,Canário,C4603,P6218,120,64,7680
44213,Canário,C5670,P2017,257,194,49858
44213,Canário,C7575,P4733,11,122,1342
44213,Canário,C8359,P5643,312,144,44928
44213,Canário,C9159,P6398,20,123,2460
44214,Canário,C1793,P9975,220,87,19140
44214,Canário,C2008,P3542,10,48,480
44214,Canário,C2784,P1831,350,143,50050
44214,Canário,C5122,P8502,15,65,975
44214,Canário,C5660,P3140,230,186,42780
44214,Canário,C5884,P2930,247,177,43719
44214,Canário,C8253,P5505,166,201,33366
44215,Canário,C2162,P8592,166,99,16434
44215,Canário,C2779,P1047,46,94,4324
44215,Canário,C4136,P6938,348,129,44892
44215,Canário,C4200,P3730,155,117,18135
44215,Canário,C4826,P9007,346,200,69200
44215,Canário,C5082,P2320,208,13,2704
44215,Canário,C5586,P4325,363,92,33396
44215,Canário,C5629,P1235,185,38,7030
44215,Canário,C6400,P8031,103,42,4326
44215,Canário,C8341,P8799,332,141,46812
44215,Canário,C9420,P4403,79,143,11297
44216,Canário,C1303,P7957,314,162,50868
44216,Canário,C1501,P9027,115,188,21620
44216,Canário,C1584,P2372,19,30,570
44216,Canário,C1892,P7818,321,200,64200
44216,Canário,C4689,P2310,145,178,25810
44216,Canário,C5163,P7956,204,149,30396
44216,Canário,C5617,P8484,110,39,4290
44216,Canário,C8986,P3447,377,104,39208
44217,Canário,C1587,P4955,183,63,11529
44217,Canário,C1720,P3523,269,13,3497
44217,Canário,C1828,P3389,39,41,1599
44217,Canário,C2845,P2966,384,62,23808
44217,Canário,C3540,P4328,63,63,3969
44217,Canário,C4115,P8874,120,113,13560
44217,Canário,C5225,P1583,80,188,15040
44217,Canário,C6000,P6017,270,144,38880
44217,Canário,C6957,P4785,107,152,16264
44218,Canário,C1474,P4305,109,177,19293
44218,Canário,C1709,P6281,144,131,18864
44218,Canário,C2210,P4958,18,23,414
44218,Canário,C2376,P3213,90,79,7110
44218,Canário,C2909,P4703,84,131,11004
44218,Canário,C3561,P7955,373,24,8952
44218,Canário,C4657,P4149,34,140,4760
44218,Canário,C7536,P5023,362,27,9774
44218,Canário,C8055,P6852,24,22,528
44218,Canário,C8579,P3776,373,21,7833
44218,Canário,C9030,P5030,106,24,2544
44218,Canário,C9893,P4957,30,81,2430
44219,Canário,C1004,P9042,256,77,19712
44219,Canário,C1132,P5026,178,185,32930
44219,Canário,C1488,P1729,91,150,13650
44219,Canário,C2668,P1923,237,85,20145
44219,Canário,C3258,P9603,185,195,36075
44219,Canário,C4075,P8091,48,148,7104
44219,Canário,C4372,P3550,290,135,39150
44219,Canário,C4949,P3314,23,152,3496
44219,Canário,C6052,P9766,119,175,20825
44219,Canário,C6213,P5873,362,162,58644
44219,Canário,C7036,P2765,121,75,9075
44219,Canário,C7141,P5448,242,156,37752
44219,Canário,C7308,P7758,31,132,4092
44219,Canário,C7319,P2599,240,72,17280
44220,Canário,C1155,P7927,271,34,9214
44220,Canário,C1709,P4044,185,47,8695
44220,Canário,C2242,P4335,221,128,28288
44220,Canário,C4045,P2896,301,88,26488
44220,Canário,C6237,P6230,87,63,5481
44220,Canário,C7396,P4160,230,56,12880
44220,Canário,C8203,P9463,75,46,3450
44220,Canário,C8802,P4910,17,180,3060
44220,Canário,C9304,P8096,231,188,43428
44220,Canário,C9838,P9750,184,98,18032
44221,Canário,C3080,P9014,270,32,8640
44221,Canário,C3082,P5724,177,120,21240
44221,Canário,C3348,P1223,58,86,4988
44221,Canário,C3720,P3006,326,47,15322
44221,Canário,C4832,P5935,142,136,19312
44221,Canário,C5641,P2711,119,175,20825
44221,Canário,C5862,P6517,55,192,10560
44221,Canário,C6823,P4579,354,130,46020
44221,Canário,C7924,P3212,120,81,9720
44222,Canário,C1234,P8742,145,53,7685
44222,Canário,C3414,P2980,48,197,9456
44222,Canário,C4993,P4151,26,107,2782
44222,Canário,C5627,P2141,103,105,10815
44222,Canário,C5717,P4253,210,116,24360
44222,Canário,C9094,P2583,164,72,11808
44222,Canário,C9656,P3269,114,139,15846
44222,Canário,C9798,P1167,69,104,7176
44223,Canário,C2656,P6644,320,43,13760
44223,Canário,C2719,P9126,136,77,10472
44223,Canário,C2977,P7695,64,161,10304
44223,Canário,C3312,P7825,373,38,14174
44223,Canário,C3322,P8811,42,30,1260
44223,Canário,C4861,P4838,214,192,41088
44223,Canário,C5487,P9369,288,120,34560
44223,Canário,C5551,P3306,337,160,53920
44223,Canário,C5821,P4080,182,59,10738
44223,Canário,C7694,P6382,123,150,18450
44223,Canário,C9985,P6650,327,34,11118
44224,Canário,C1575,P9529,51,70,3570
44224,Canário,C2475,P5418,316,166,52456
44224,Canário,C3643,P1771,253,160,40480
44224,Canário,C3691,P6974,146,35,5110
44224,Canário,C5753,P2014,20,138,2760
44224,Canário,C6143,P8150,34,173,5882
44224,Canário,C6280,P7210,151,24,3624
44224,Canário,C6809,P4172,297,108,32076
44225,Canário,C1079,P5655,198,33,6534
44225,Canário,C1679,P1556,372,174,64728
44225,Canário,C3460,P9981,192,56,10752
44225,Canário,C3726,P2625,314,73,22922
44225,Canário,C3934,P5427,292,56,16352
44225,Canário,C4105,P6121,78,139,10842
44225,Canário,C6147,P3842,231,190,43890
44225,Canário,C8540,P9173,184,55,10120
44225,Canário,C8763,P3999,19,115,2185
44225,Canário,C9496,P7488,179,57,10203
44226,Canário,C1127,P8457,175,158,27650
44226,Canário,C1377,P8168,365,85,31025
44226,Canário,C1494,P2856,55,11,605
44226,Canário,C2176,P2758,324,162,52488
44226,Canário,C2566,P8894,339,197,66783
44226,Canário,C4000,P8092,356,180,64080
44226,Canário,C4494,P7456,260,99,25740
44226,Canário,C5964,P1851,212,114,24168
44226,Canário,C6621,P7542,215,34,7310
44226,Canário,C7092,P1314,226,15,3390
44226,Canário,C7356,P5340,366,123,45018
44227,Canário,C3365,P4393,371,95,35245
44227,Canário,C4224,P4281,107,68,7276
44227,Canário,C4429,P4208,37,59,2183
44227,Canário,C5909,P6045,74,118,8732
44227,Canário,C7385,P3789,205,173,35465
44227,Canário,C8060,P4833,346,167,57782
44227,Canário,C9074,P1536,252,198,49896
44227,Canário,C9386,P4911,319,87,27753
44227,Canário,C9568,P9446,314,111,34854
44228,Canário,C1634,P8990,386,160,61760
44228,Canário,C3779,P6830,396,111,43956
44228,Canário,C4475,P6556,173,177,30621
44228,Canário,C4771,P1996,125,122,15250
44228,Canário,C4848,P1448,82,122,10004
44228,Canário,C6640,P4259,269,128,34432
44228,Canário,C6733,P8791,191,124,23684
44228,Canário,C7523,P8559,229,111,25419
44228,Canário,C7728,P8941,392,109,42728
44228,Canário,C8657,P1624,306,87,26622
44228,Canário,C8952,P4864,300,61,18300
44228,Canário,C8988,P1261,194,64,12416
44229,Canário,C1379,P3549,389,102,39678
44229,Canário,C1635,P5408,19,98,1862
44229,Canário,C2737,P4950,250,63,15750
44229,Canário,C2981,P6712,386,38,14668
44229,Canário,C3513,P5348,231,142,32802
44229,Canário,C3670,P2617,244,15,3660
44229,Canário,C4246,P1926,134,26,3484
44229,Canário,C5051,P3465,147,55,8085
44229,Canário,C5118,P9731,85,91,7735
44229,Canário,C6953,P2106,285,21,5985
44229,Canário,C8677,P4797,384,42,16128
44229,Canário,C9209,P9286,196,48,9408
44230,Canário,C1028,P3739,241,125,30125
44230,Canário,C1257,P5677,88,185,16280
44230,Canário,C2312,P8270,309,119,36771
44230,Canário,C2745,P5171,295,48,14160
44230,Canário,C4386,P2661,340,87,29580
44230,Canário,C4605,P9303,137,10,1370
44230,Canário,C7276,P8285,170,119,20230
44230,Canário,C9034,P2863,212,26,5512
44231,Canário,C1320,P5013,262,121,31702
44231,Canário,C2610,P2984,44,142,6248
44231,Canário,C4583,P7475,76,32,2432
44231,Canário,C5112,P2036,306,174,53244
44231,Canário,C5473,P1633,165,172,28380
44231,Canário,C6041,P7775,327,71,23217
44231,Canário,C6141,P1419,261,68,17748
44231,Canário,C7912,P7203,220,172,37840
44231,Canário,C8889,P7944,176,164,28864
44232,Canário,C1264,P3043,374,31,11594
44232,Canário,C1396,P7301,79,26,2054
44232,Canário,C1980,P8323,247,142,35074
44232,Canário,C2305,P7921,338,33,11154
44232,Canário,C2583,P2317,144,50,7200
44232,Canário,C3045,P5758,286,16,4576
44232,Canário,C5096,P6411,183,185,33855
44232,Canário,C5301,P3483,355,37,13135
44232,Canário,C6401,P4660,96,127,12192
44232,Canário,C7102,P4425,61,87,5307
44232,Canário,C7165,P5708,310,149,46190
44232,Canário,C7240,P7087,53,42,2226
44232,Canário,C7547,P9222,364,66,24024
44232,Canário,C7842,P6317,117,180,21060
44232,Canário,C8972,P9544,354,41,14514
44232,Canário,C9329,P1756,216,123,26568
44233,Canário,C5988,P3132,147,124,18228
44233,Canário,C7021,P8699,140,154,21560
44233,Canário,C8003,P2879,201,174,34974
44233,Canário,C8017,P8394,109,134,14606
44234,Canário,C1168,P8090,65,196,12740
44234,Canário,C1678,P2788,207,147,30429
44234,Canário,C2215,P9717,124,180,22320
44234,Canário,C3868,P9412,87,34,2958
44234,Canário,C4765,P8573,155,191,29605
44234,Canário,C5481,P9362,368,37,13616
44234,Canário,C8721,P5486,172,45,7740
44234,Canário,C8795,P4465,389,187,72743
44234,Canário,C9022,P6674,221,163,36023
44234,Canário,C9236,P4278,220,191,42020
44234,Canário,C9688,P8842,334,149,49766
44234,Canário,C9756,P2817,181,83,15023
44235,Canário,C1051,P4111,101,121,12221
44235,Canário,C1665,P7182,374,200,74800
44235,Canário,C1887,P8153,60,120,7200
44235,Canário,C3196,P9751,152,102,15504
44235,Canário,C4415,P4272,347,140,48580
44235,Canário,C4655,P9596,170,134,22780
44235,Canário,C4846,P4463,34,172,5848
44235,Canário,C5579,P5096,45,166,7470
44235,Canário,C6063,P1528,205,159,32595
44235,Canário,C7288,P3907,137,163,22331
44235,Canário,C8006,P9661,141,132,18612
44235,Canário,C8662,P1842,195,126,24570
44235,Canário,C8736,P8620,62,106,6572
44236,Canário,C3134,P8923,136,46,6256
44236,Canário,C3996,P7650,101,133,13433
44236,Canário,C4774,P1903,232,160,37120
44236,Canário,C6534,P3554,99,174,17226
44236,Canário,C7079,P1995,335,151,50585
44236,Canário,C8300,P7645,70,24,1680
44237,Canário,C1617,P5888,373,101,37673
44237,Canário,C2771,P4071,211,158,33338
44237,Canário,C3331,P3991,146,26,3796
44237,Canário,C5067,P6487,245,111,27195
44237,Canário,C5462,P4116,290,46,13340
44237,Canário,C5657,P4712,351,24,8424
44237,Canário,C8459,P5842,56,144,8064
44237,Canário,C8480,P2869,283,47,13301
44238,Canário,C1382,P8110,114,72,8208
44238,Canário,C1521,P7481,13,114,1482
44238,Canário,C5977,P8307,71,89,6319
44239,Canário,C1427,P7148,258,44,11352
44239,Canário,C1472,P2877,20,61,1220
44239,Canário,C1491,P2286,266,54,14364
44239,Canário,C2250,P7785,342,65,22230
44239,Canário,C2389,P3555,366,195,71370
44239,Canário,C2579,P3658,398,81,32238
44239,Canário,C3088,P5702,349,54,18846
44239,Canário,C3811,P4149,342,86,29412
44239,Canário,C3881,P4289,328,113,37064
44239,Canário,C5065,P4976,113,140,15820
44239,Canário,C8492,P6874,59,36,2124
44239,Canário,C9129,P2047,175,170,29750
44240,Canário,C1924,P4586,377,70,26390
44240,Canário,C1945,P2814,171,135,23085
44240,Canário,C2875,P7807,76,68,5168
44240,Canário,C2956,P5188,188,168,31584
44240,Canário,C3721,P7144,86,12,1032
44240,Canário,C5990,P8276,30,201,6030
44240,Canário,C6989,P5609,270,132,35640
44240,Canário,C8850,P5251,61,21,1281
44240,Canário,C9329,P8535,392,135,52920
44240,Canário,C9999,P9541,344,44,15136
44241,Canário,C1538,P3142,168,52,8736
44241,Canário,C2487,P8744,276,140,38640
44241,Canário,C4049,P7216,308,144,44352
44241,Canário,C4338,P7854,240,43,10320
44241,Canário,C4501,P1125,232,124,28768
44241,Canário,C5392,P5938,121,51,6171
44241,Canário,C6120,P8479,18,86,1548
44241,Canário,C6659,P2826,349,58,20242
44241,Canário,C7319,P1645,283,196,55468
44241,Canário,C8101,P4937,212,117,24804
44241,Canário,C8390,P4828,27,52,1404
44242,Canário,C1121,P1575,30,155,4650
44242,Canário,C1528,P9210,33,124,4092
44242,Canário,C1820,P2521,55,43,2365
44242,Canário,C1847,P2897,70,177,12390
44242,Canário,C3538,P5154,67,128,8576
44242,Canário,C6067,P7891,336,58,19488
44242,Canário,C7395,P3933,100,101,10100
44242,Canário,C7879,P2765,177,35,6195
44242,Canário,C8173,P1950,64,90,5760
44242,Canário,C8613,P7908,136,146,19856
44243,Canário,C1081,P2739,32,125,4000
44243,Canário,C1590,P3582,26,128,3328
44243,Canário,C2508,P3825,38,107,4066
44243,Canário,C2544,P4732,271,36,9756
44243,Canário,C2969,P3665,305,160,48800
44243,Canário,C4888,P6951,73,159,11607
44243,Canário,C5333,P9802,301,12,3612
44243,Canário,C7505,P7563,93,90,8370
44243,Canário,C7585,P2544,289,58,16762
44243,Canário,C8426,P9934,37,96,3552
44243,Canário,C9259,P3757,139,81,11259
44243,Canário,C9553,P3687,143,100,14300
44244,Canário,C2370,P9418,321,188,60348
44244,Canário,C2467,P8733,365,188,68620
44244,Canário,C3573,P9514,351,17,5967
44244,Canário,C3660,P7843,335,25,8375
44244,Canário,C4453,P8085,114,61,6954
44244,Canário,C5207,P4091,161,172,27692
44244,Canário,C5293,P1966,303,173,52419
44244,Canário,C6708,P4156,383,105,40215
44244,Canário,C8898,P4615,122,89,10858
44244,Canário,C9031,P7692,158,157,24806
44244,Canário,C9215,P1592,251,54,13554
44244,Canário,C9241,P9767,309,26,8034
44245,Canário,C1745,P6250,163,89,14507
44245,Canário,C1876,P8854,68,107,7276
44245,Canário,C3440,P7346,390,154,60060
44245,Canário,C3465,P9811,148,38,5624
44245,Canário,C5821,P1926,267,20,5340
44245,Canário,C6345,P4540,234,64,14976
44245,Canário,C7715,P8601,244,37,9028
44245,Canário,C8984,P1453,264,168,44352
44245,Canário,C9294,P7663,190,154,29260
44245,Canário,C9663,P7026,252,131,33012
44246,Canário,C2594,P5316,188,118,22184
44246,Canário,C3676,P3341,141,105,14805
44246,Canário,C4942,P4264,188,180,33840
44246,Canário,C4986,P5684,350,51,17850
44246,Canário,C5218,P8095,328,161,52808
44246,Canário,C5251,P5219,48,85,4080
44246,Canário,C5529,P1270,46,79,3634
44246,Canário,C5696,P9270,235,100,23500
44246,Canário,C6890,P4344,387,60,23220
44246,Canário,C6998,P2101,124,104,12896
44246,Canário,C7847,P4313,182,39,7098
44246,Canário,C8487,P5360,163,118,19234
44246,Canário,C9112,P8527,321,27,8667
44247,Canário,C1401,P6661,60,96,5760
44247,Canário,C3314,P8689,175,187,32725
44247,Canário,C3914,P8354,182,98,17836
44247,Canário,C3956,P3155,362,60,21720
44247,Canário,C4430,P7601,72,60,4320
44247,Canário,C5702,P3327,139,182,25298
44247,Canário,C7204,P5046,161,92,14812
44248,Canário,C1341,P4652,375,112,42000
44248,Canário,C3357,P6508,71,146,10366
44248,Canário,C5804,P7645,162,199,32238
44248,Canário,C7321,P6334,325,76,24700
44248,Canário,C9445,P8347,65,95,6175
44248,Canário,C9758,P7394,39,149,5811
44249,Canário,C1187,P5165,303,197,59691
44249,Canário,C2758,P9860,171,41,7011
44249,Canário,C3024,P4905,210,191,40110
44249,Canário,C3043,P4314,64,185,11840
44249,Canário,C4068,P3658,221,185,40885
44249,Canário,C4448,P1463,367,14,5138
44249,Canário,C4810,P4369,217,158,34286
44249,Canário,C5338,P3420,107,183,19581
44249,Canário,C5807,P7373,177,92,16284
44249,Canário,C6736,P7856,132,99,13068
44249,Canário,C7874,P9051,322,147,47334
44249,Canário,C8898,P7941,247,140,34580
44250,Canário,C1011,P5633,287,191,54817
44250,Canário,C2514,P6607,192,137,26304
44250,Canário,C2731,P4684,323,23,7429
44250,Canário,C2973,P1028,44,60,2640
44250,Canário,C3276,P7180,275,110,30250
44250,Canário,C5024,P9026,141,60,8460
44250,Canário,C7614,P1918,337,26,8762
44250,Canário,C8198,P1739,156,171,26676
44250,Canário,C9292,P9769,68,192,13056
44250,Canário,C9817,P8347,217,168,36456
44250,Canário,C9932,P4216,357,22,7854
44251,Canário,C2819,P8432,330,161,53130
44251,Canário,C2925,P9024,318,110,34980
44251,Canário,C4845,P3765,319,115,36685
44251,Canário,C5524,P9793,150,84,12600
44251,Canário,C6534,P8112,59,198,11682
44251,Canário,C6635,P7011,58,85,4930
44251,Canário,C7335,P3467,32,91,2912
44252,Canário,C2379,P5328,16,53,848
44252,Canário,C2667,P9710,273,61,16653
44252,Canário,C2693,P7976,256,20,5120
44252,Canário,C2698,P7269,328,141,46248
44252,Canário,C2729,P6483,182,198,36036
44252,Canário,C3606,P3671,130,180,23400
44252,Canário,C5026,P3499,91,64,5824
44252,Canário,C6507,P5791,360,129,46440
44252,Canário,C7173,P1358,390,57,22230
44252,Canário,C8593,P7332,201,184,36984
44252,Canário,C9675,P6556,112,142,15904
44253,Canário,C1020,P5272,173,69,11937
44253,Canário,C1218,P5887,133,88,11704
44253,Canário,C1538,P5738,310,44,13640
44253,Canário,C2238,P7592,19,136,2584
44253,Canário,C2473,P3878,45,45,2025
44253,Canário,C2990,P5980,83,146,12118
44253,Canário,C4080,P9026,305,193,58865
44253,Canário,C4846,P4837,352,176,61952
44253,Canário,C6968,P5176,394,176,69344
44253,Canário,C8298,P3801,323,61,19703
44253,Canário,C9700,P9021,262,26,6812
44254,Canário,C1075,P3641,186,55,10230
44254,Canário,C2756,P4912,123,14,1722
44254,Canário,C3835,P8608,186,195,36270
44254,Canário,C4221,P1669,195,77,15015
44254,Canário,C5634,P9531,385,11,4235
44254,Canário,C5808,P2899,260,114,29640
44254,Canário,C6168,P7440,12,193,2316
44254,Canário,C6591,P9954,21,188,3948
44254,Canário,C7276,P1330,31,197,6107
44254,Canário,C8421,P2291,33,32,1056
44254,Canário,C9262,P1882,129,41,5289
44255,Canário,C1130,P7701,209,86,17974
44255,Canário,C1730,P9767,133,130,17290
44255,Canário,C1873,P2721,195,14,2730
44255,Canário,C2867,P5707,257,97,24929
44255,Canário,C3376,P6550,250,100,25000
44255,Canário,C3550,P6063,368,63,23184
44255,Canário,C4940,P2187,32,198,6336
44255,Canário,C6193,P7050,12,129,1548
44255,Canário,C6205,P8056,362,163,59006
44255,Canário,C8012,P2891,14,56,784
44255,Canário,C8185,P1950,290,13,3770
44255,Canário,C8650,P9174,163,173,28199
44255,Canário,C9879,P6790,60,188,11280
44256,Canário,C1159,P9005,197,85,16745
44256,Canário,C1693,P2859,108,156,16848
44256,Canário,C1867,P5227,374,68,25432
44256,Canário,C2723,P6297,170,161,27370
44256,Canário,C3661,P6403,269,140,37660
44256,Canário,C4489,P8733,341,33,11253
44256,Canário,C6015,P1062,363,70,25410
44256,Canário,C7543,P5993,260,20,5200
44256,Canário,C8025,P4806,48,103,4944
44256,Canário,C8454,P3323,36,115,4140
44256,Canário,C8498,P7143,115,119,13685
44256,Canário,C9460,P9259,131,167,21877
44257,Canário,C1048,P7174,63,79,4977
44257,Canário,C1093,P1702,258,125,32250
44257,Canário,C2401,P5681,368,198,72864
44257,Canário,C2879,P9711,33,86,2838
44257,Canário,C3257,P6751,164,99,16236
44257,Canário,C3594,P4791,339,35,11865
44257,Canário,C4544,P4702,47,78,3666
44257,Canário,C4722,P4253,352,126,44352
44257,Canário,C6136,P9734,133,161,21413
44257,Canário,C6909,P5603,267,81,21627
44257,Canário,C7113,P1020,248,147,36456
